championName,cluster,AD Carry,Resilience,Support,AP Carry,Vulnerability,Tower Pushing
Riven,1,0.29053980561643417,0.09397364385869433,-2.831295951448512,-0.5722193208820053,1.0444193501389827,0.7947698109839829
Rumble,5,0.047786710164423714,-0.8824717305253507,1.2014452881740374,2.5906459110442586,0.12445789625262049,0.022049013605913322
Ryze,5,0.17630097655987267,-0.8107892971412767,1.1997684990825803,2.812598935171226,-0.30226240222970385,0.6588778280038959
Samira,3,1.7267408864685994,-1.931909913102629,-1.2540692552115402,-0.9317371586030752,0.3067650115885304,-0.5965681271718837
Sejuani,6,0.8781934866796177,3.580928560406542,0.7165143061085428,-0.6456196806995262,-1.4293320859894516,0.28599872302501517
Senna,0,-2.879820507906345,-0.3359532574320455,0.25252409919778146,-4.450117878702994,0.8571423537663574,0.5385160237234413
Seraphine,0,-4.487808779861816,-0.5019116617126498,2.192597705457535,-0.7495021333133977,0.09570407988856182,0.26676780433368313
Sett,1,1.1786005521602487,1.2376811098040212,-2.334535647844451,-0.2635411600704181,1.0045200194567325,1.0993363685986526
Shaco,6,1.3566360339459966,1.9454252404013401,0.695614507163768,-0.4893361693172117,-1.7686492058228578,-1.374203610102264
Shen,1,-0.3662398423181959,1.3882721160998088,-0.5062236140333627,1.086673770335499,0.8410140147722112,1.527832090491591
Shyvana,6,1.7876240482545418,2.800370448125177,1.0229476789218226,0.6627319834792412,-1.80234316518194,-0.8333773517648702
Singed,5,-0.019096848895314364,0.23851238449566647,0.9174404421025142,3.0765093777897423,0.1364327792022676,1.1284009801643267
Sion,1,1.5006259519334515,2.2582077291477898,-1.4101010018242472,1.7961744847117949,1.2173374551603189,2.6792937287327487
Sivir,3,1.220150149843822,-2.1301082510587404,-1.7100408195238044,-1.8771489631315081,-0.5510907549787952,0.628702044174467
